song_title,artist,genres,date,rank
Bodak Yellow (Money Moves),Cardi B,[],,
Rockstar,Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']",2017-10-07,2.0
Look What You Made Me Do,Taylor Swift,['pop'],2017-10-07,3.0
1-800-273-8255,Logic,"['conscious hip hop', 'hip hop', 'pop rap', 'rap']",2017-10-07,4.0
Despacito,Luis Fonsi,"['latin pop', 'puerto rican pop']",2017-10-07,5.0
Unforgettable,French Montana,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2017-10-07,6.0
Believer,Imagine Dragons,"['modern rock', 'pop', 'rock']",2017-10-07,7.0
Rake It Up,Yo Gotti,"['dirty south rap', 'gangster rap', 'memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",2017-10-07,8.0
Attention,Charlie Puth,"['pop', 'viral pop']",2017-10-07,9.0
Feel It Still,Portugal. The Man,"['indie rock', 'indietronica', 'modern alternative rock', 'modern rock']",2017-10-07,10.0
Slow Hands,Niall Horan,['pop'],2017-10-07,11.0
Wild Thoughts,DJ Khaled,"['hip hop', 'miami hip hop', 'pop rap', 'rap']",2017-10-07,12.0
Strip That Down,Liam Payne,['pop'],2017-10-07,13.0
There's Nothing Holdin' Me Back,Shawn Mendes,"['canadian pop', 'pop', 'viral pop']",2017-10-07,14.0
Sorry Not Sorry,Demi Lovato,"['pop', 'post-teen pop']",2017-10-07,15.0
Too Good At Goodbyes,Sam Smith,"['pop', 'uk pop']",2017-10-07,16.0
Bank Account,21 Savage,"['atl hip hop', 'hip hop', 'rap']",2017-10-07,17.0
Shape Of You,Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",2017-10-07,18.0
Mi Gente,J Balvin,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",2017-10-07,19.0
That's What I Like,Bruno Mars,"['dance pop', 'pop']",2017-10-07,20.0
XO TOUR Llif3,Lil Uzi Vert,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']",2017-10-07,21.0
I Get The Bag,Gucci Mane,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2017-10-07,22.0
What Lovers Do,Maroon 5,['pop'],2017-10-07,23.0
Body Like A Back Road,Sam Hunt,"['contemporary country', 'country', 'country pop', 'modern country rock']",2017-10-07,24.0
Humble.,Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",2017-10-07,25.0
What About Us,P!nk,"['dance pop', 'pop']",2017-10-07,26.0
Young Dumb & Broke,Khalid,"['pop', 'pop r&b']",2017-10-07,27.0
Praying,Kesha,"['dance pop', 'pop']",2017-10-07,28.0
Something Just Like This,The Chainsmokers,['pop'],2017-10-07,29.0
Thunder,Imagine Dragons,"['modern rock', 'pop', 'rock']",2017-10-07,30.0
Location,Khalid,"['pop', 'pop r&b']",2017-10-07,31.0
What Ifs,Kane Brown,"['black americana', 'contemporary country', 'country', 'country road']",2017-10-07,32.0
Love Galore,SZA,"['pop', 'r&b', 'rap']",2017-10-07,33.0
...Ready For It?,Taylor Swift,['pop'],2017-10-07,34.0
Friends,Justin Bieber + BloodPop,"['canadian pop', 'pop']",2017-10-07,35.0
Congratulations,Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']",2017-10-07,36.0
Say You Won't Let Go,James Arthur,"['pop', 'talent show', 'uk pop']",2017-10-07,37.0
Redbone,Childish Gambino,"['atl hip hop', 'hip hop', 'rap']",2017-10-07,38.0
I'm The One,DJ Khaled,"['hip hop', 'miami hip hop', 'pop rap', 'rap']",2017-10-07,39.0
Small Town Boy,Dustin Lynch,"['contemporary country', 'country', 'country road', 'modern country rock']",2017-10-07,40.0
Loyalty.,Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",2017-10-07,41.0
Stay,Zedd,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']",2017-10-07,42.0
Feels,Calvin Harris,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",2017-10-07,43.0
When It Rains It Pours,Luke Combs,"['contemporary country', 'country']",2017-10-07,44.0
No Promises,Cheat Codes,"['edm', 'pop', 'pop dance']",2017-10-07,45.0
Crew,GoldLink,['alternative r&b'],2017-10-07,46.0
Heartache On The Dance Floor,Jon Pardi,"['contemporary country', 'country', 'country road', 'modern country rock']",2017-10-07,47.0
Mask Off,Future,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",2017-10-07,48.0
Unforgettable,Thomas Rhett,"['contemporary country', 'country', 'country road', 'modern country rock']",2017-10-07,49.0
Jocelyn Flores,,[],2017-10-07,50.0
Do Re Mi,blackbear,['pop'],2017-10-07,51.0
The Weekend,SZA,"['pop', 'r&b', 'rap']",2017-10-07,52.0
New Rules,Dua Lipa,"['dance pop', 'pop', 'uk pop']",2017-10-07,53.0
The Race,Tay-K,"['cali rap', 'dfw rap', 'rap', 'trap']",2017-10-07,54.0
Transportin',Kodak Black,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']",2017-10-07,55.0
Silence,Marshmello,"['brostep', 'edm', 'pop', 'progressive electro house']",2017-10-07,56.0
Butterfly Effect,Travis Scott,"['hip hop', 'rap', 'slap house']",2017-10-07,57.0
The Way Life Goes,Lil Uzi Vert,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']",2017-10-07,58.0
Roll In Peace,Kodak Black,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']",2017-10-07,59.0
It's A Vibe,2 Chainz,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2017-10-07,60.0
Bad At Love,Halsey,"['electropop', 'etherpop', 'indie poptimism', 'pop']",2017-10-07,61.0
Glorious,Macklemore,"['pop rap', 'seattle hip hop']",2017-10-07,62.0
Dusk Till Dawn,Zayn,"['pop', 'uk pop']",2017-10-07,63.0
Havana,Camila Cabello,"['dance pop', 'pop']",2017-10-07,64.0
F**k Love,,[],2017-10-07,65.0
Too Much To Ask,Niall Horan,['pop'],2017-10-07,66.0
Curve,Gucci Mane,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2017-10-07,67.0
All The Pretty Girls,Kenny Chesney,"['contemporary country', 'country', 'country road', 'modern country rock']",2017-10-07,68.0
Sauce It Up,Lil Uzi Vert,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']",2017-10-07,69.0
Escapate Conmigo,Wisin,"['reggaeton', 'urbano latino']",2017-10-07,70.0
Gucci Gang,Lil Pump,"['emo rap', 'miami hip hop', 'pop rap', 'rap', 'trap']",2017-10-07,71.0
Felices Los 4,Maluma,"['latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",2017-10-07,72.0
B.E.D.,Jacquees,"['atl hip hop', 'pop r&b', 'pop rap', 'r&b', 'rap', 'trap']",2017-10-07,73.0
They Don't Know,Jason Aldean,"['contemporary country', 'country', 'country road', 'modern country rock']",2017-10-07,74.0
Greatest Love Story,LANCO,"['contemporary country', 'country road', 'modern country rock']",2017-10-07,75.0
Every Little Thing,Carly Pearce,"['contemporary country', 'country', 'country road']",2017-10-07,76.0
No Such Thing As A Broken Heart,Old Dominion,"['contemporary country', 'country', 'country road', 'modern country rock']",2017-10-07,77.0
Back To You,Louis Tomlinson,['pop'],2017-10-07,78.0
Pills And Automobiles,Chris Brown,"['r&b', 'rap']",2017-10-07,79.0
