song_title,artist,genres,date,rank
Bodak Yellow (Money Moves),Cardi B,[],,
Rockstar,Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']",2017-10-14,2.0
Look What You Made Me Do,Taylor Swift,['pop'],2017-10-14,3.0
1-800-273-8255,Logic,"['conscious hip hop', 'hip hop', 'pop rap', 'rap']",2017-10-14,4.0
Despacito,Luis Fonsi,"['latin pop', 'puerto rican pop']",2017-10-14,5.0
Unforgettable,French Montana,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2017-10-14,6.0
Feel It Still,Portugal. The Man,"['indie rock', 'indietronica', 'modern alternative rock', 'modern rock']",2017-10-14,7.0
Believer,Imagine Dragons,"['modern rock', 'pop', 'rock']",2017-10-14,8.0
Rake It Up,Yo Gotti,"['dirty south rap', 'gangster rap', 'memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",2017-10-14,9.0
Sorry Not Sorry,Demi Lovato,"['pop', 'post-teen pop']",2017-10-14,10.0
Attention,Charlie Puth,"['pop', 'viral pop']",2017-10-14,11.0
Strip That Down,Liam Payne,['pop'],2017-10-14,12.0
Slow Hands,Niall Horan,['pop'],2017-10-14,13.0
Too Good At Goodbyes,Sam Smith,"['pop', 'uk pop']",2017-10-14,14.0
Bank Account,21 Savage,"['atl hip hop', 'hip hop', 'rap']",2017-10-14,15.0
There's Nothing Holdin' Me Back,Shawn Mendes,"['canadian pop', 'pop', 'viral pop']",2017-10-14,16.0
Thunder,Imagine Dragons,"['modern rock', 'pop', 'rock']",2017-10-14,17.0
Wild Thoughts,DJ Khaled,"['hip hop', 'miami hip hop', 'pop rap', 'rap']",2017-10-14,18.0
Shape Of You,Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",2017-10-14,19.0
What Lovers Do,Maroon 5,['pop'],2017-10-14,20.0
Mi Gente,J Balvin,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",2017-10-14,21.0
That's What I Like,Bruno Mars,"['dance pop', 'pop']",2017-10-14,22.0
I Get The Bag,Gucci Mane,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2017-10-14,23.0
Praying,Kesha,"['dance pop', 'pop']",2017-10-14,24.0
Young Dumb & Broke,Khalid,"['pop', 'pop r&b']",2017-10-14,25.0
Body Like A Back Road,Sam Hunt,"['contemporary country', 'country', 'country pop', 'modern country rock']",2017-10-14,26.0
XO TOUR Llif3,Lil Uzi Vert,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']",2017-10-14,27.0
Humble.,Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",2017-10-14,28.0
What About Us,P!nk,"['dance pop', 'pop']",2017-10-14,29.0
Something Just Like This,The Chainsmokers,['pop'],2017-10-14,30.0
What Ifs,Kane Brown,"['black americana', 'contemporary country', 'country', 'country road']",2017-10-14,31.0
Love Galore,SZA,"['pop', 'r&b', 'rap']",2017-10-14,32.0
Location,Khalid,"['pop', 'pop r&b']",2017-10-14,33.0
Say You Won't Let Go,James Arthur,"['pop', 'talent show', 'uk pop']",2017-10-14,34.0
Congratulations,Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']",2017-10-14,35.0
Friends,Justin Bieber + BloodPop,"['canadian pop', 'pop']",2017-10-14,36.0
