song_title,artist,genres,date,rank
Bodak Yellow (Money Moves),Cardi B,Need Manual Check,,
Rockstar,Post Malone ,"['dfw rap', 'melodic rap', 'pop', 'rap']",2017-10-21,2.0
Mi Gente,J Balvin ,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",2017-10-21,3.0
1-800-273-8255,Logic ,"['conscious hip hop', 'hip hop', 'pop rap', 'rap']",2017-10-21,4.0
Look What You Made Me Do,Taylor Swift,['pop'],2017-10-21,5.0
Feel It Still,Portugal. The Man,"['indie rock', 'indietronica', 'modern alternative rock', 'modern rock']",2017-10-21,6.0
Thunder,Imagine Dragons,"['modern rock', 'pop', 'rock']",2017-10-21,7.0
Sorry Not Sorry,Demi Lovato,"['pop', 'post-teen pop']",2017-10-21,8.0
Despacito,Luis Fonsi ,"['latin pop', 'puerto rican pop']",2017-10-21,9.0
Unforgettable,French Montana ,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2017-10-21,10.0
Believer,Imagine Dragons,"['modern rock', 'pop', 'rock']",2017-10-21,11.0
Rake It Up,Yo Gotti ,"['dirty south rap', 'gangster rap', 'memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",2017-10-21,12.0
Too Good At Goodbyes,Sam Smith,"['pop', 'uk pop']",2017-10-21,13.0
Strip That Down,Liam Payne ,['pop'],2017-10-21,14.0
Attention,Charlie Puth,"['pop', 'viral pop']",2017-10-21,15.0
Bank Account,21 Savage,"['atl hip hop', 'hip hop', 'rap']",2017-10-21,16.0
There's Nothing Holdin' Me Back,Shawn Mendes,"['canadian pop', 'pop', 'viral pop']",2017-10-21,17.0
Slow Hands,Niall Horan,['pop'],2017-10-21,18.0
What Lovers Do,Maroon 5 ,['pop'],2017-10-21,19.0
Shape Of You,Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",2017-10-21,20.0
Wild Thoughts,DJ Khaled ,"['hip hop', 'miami hip hop', 'pop rap', 'rap']",2017-10-21,21.0
Humble.,Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",2017-10-21,22.0
That's What I Like,Bruno Mars,"['dance pop', 'pop']",2017-10-21,23.0
I Get The Bag,Gucci Mane ,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2017-10-21,24.0
What About Us,P!nk,"['dance pop', 'pop']",2017-10-21,25.0
Praying,Kesha,"['dance pop', 'pop']",2017-10-21,26.0
Young Dumb & Broke,Khalid,"['pop', 'pop r&b']",2017-10-21,27.0
What Ifs,Kane Brown ,"['black americana', 'contemporary country', 'country', 'country road']",2017-10-21,28.0
Havana,Camila Cabello ,"['dance pop', 'pop']",2017-10-21,29.0
XO TOUR Llif3,Lil Uzi Vert,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']",2017-10-21,30.0
Body Like A Back Road,Sam Hunt,"['contemporary country', 'country', 'country pop', 'modern country rock']",2017-10-21,31.0
Something Just Like This,The Chainsmokers ,['pop'],2017-10-21,32.0
Love Galore,SZA ,"['pop', 'r&b', 'rap']",2017-10-21,33.0
Perfect,Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",2017-10-21,34.0
Congratulations,Post Malone ,"['dfw rap', 'melodic rap', 'pop', 'rap']",2017-10-21,35.0
Location,Khalid,"['pop', 'pop r&b']",2017-10-21,36.0
Say You Won't Let Go,James Arthur,"['pop', 'talent show', 'uk pop']",2017-10-21,37.0
No Promises,Cheat Codes ,"['edm', 'pop', 'pop dance']",2017-10-21,38.0
I Fall Apart,Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']",2017-10-21,39.0
When It Rains It Pours,Luke Combs,"['contemporary country', 'country']",2017-10-21,40.0
Do Re Mi,blackbear,['pop'],2017-10-21,41.0
New Rules,Dua Lipa,"['dance pop', 'pop', 'uk pop']",2017-10-21,42.0
Small Town Boy,Dustin Lynch,"['contemporary country', 'country', 'country road', 'modern country rock']",2017-10-21,43.0
Loyalty.,Kendrick Lamar ,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",2017-10-21,44.0
Crew,GoldLink ,['alternative r&b'],2017-10-21,45.0
Gucci Gang,Lil Pump,"['emo rap', 'miami hip hop', 'pop rap', 'rap', 'trap']",2017-10-21,46.0
...Ready For It?,Taylor Swift,['pop'],2017-10-21,47.0
The Weekend,SZA,"['pop', 'r&b', 'rap']",2017-10-21,48.0
Bad At Love,Halsey,"['electropop', 'etherpop', 'indie poptimism', 'pop']",2017-10-21,49.0
Redbone,Childish Gambino,"['atl hip hop', 'hip hop', 'rap']",2017-10-21,50.0
Unforgettable,Thomas Rhett,"['contemporary country', 'country', 'country road', 'modern country rock']",2017-10-21,51.0
Butterfly Effect,Travis Scott,"['hip hop', 'rap', 'slap house']",2017-10-21,52.0
Silence,Marshmello ,"['brostep', 'edm', 'pop', 'progressive electro house']",2017-10-21,53.0
Friends,Justin Bieber + BloodPop,"['canadian pop', 'pop']",2017-10-21,54.0
Glorious,Macklemore ,"['pop rap', 'seattle hip hop']",2017-10-21,55.0
Roll In Peace,Kodak Black ,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']",2017-10-21,56.0
The Way Life Goes,Lil Uzi Vert ,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']",2017-10-21,57.0
The Race,Tay-K,"['cali rap', 'dfw rap', 'rap', 'trap']",2017-10-21,58.0
No Limit,G-Eazy ,"['indie pop rap', 'oakland hip hop', 'pop rap', 'rap']",2017-10-21,59.0
Transportin',Kodak Black,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']",2017-10-21,60.0
