song_title,artist,genres,date,rank
Bodak Yellow (Money Moves),Cardi B,,,
Rockstar,Post Malone ,"['Pop', 'Hip Hop']",2017-10-21,2.0
Mi Gente,J Balvin ,,2017-10-21,3.0
1-800-273-8255,Logic ,['Hip Hop'],2017-10-21,4.0
Look What You Made Me Do,Taylor Swift,['Pop'],2017-10-21,5.0
Feel It Still,Portugal. The Man,,2017-10-21,6.0
Thunder,Imagine Dragons,"['Rock', 'Pop']",2017-10-21,7.0
Sorry Not Sorry,Demi Lovato,['Pop'],2017-10-21,8.0
Despacito,Luis Fonsi ,,2017-10-21,9.0
Unforgettable,French Montana ,['Hip Hop'],2017-10-21,10.0
Believer,Imagine Dragons,"['Rock', 'Pop']",2017-10-21,11.0
Rake It Up,Yo Gotti ,['Hip Hop'],2017-10-21,12.0
Too Good At Goodbyes,Sam Smith,['Pop'],2017-10-21,13.0
Strip That Down,Liam Payne ,['Pop'],2017-10-21,14.0
Attention,Charlie Puth,['Pop'],2017-10-21,15.0
Bank Account,21 Savage,['Hip Hop'],2017-10-21,16.0
There's Nothing Holdin' Me Back,Shawn Mendes,['Pop'],2017-10-21,17.0
Slow Hands,Niall Horan,['Pop'],2017-10-21,18.0
What Lovers Do,Maroon 5 ,['Pop'],2017-10-21,19.0
Shape Of You,Ed Sheeran,['Pop'],2017-10-21,20.0
Wild Thoughts,DJ Khaled ,['Hip Hop'],2017-10-21,21.0
Humble.,Kendrick Lamar,['Hip Hop'],2017-10-21,22.0
That's What I Like,Bruno Mars,['Pop'],2017-10-21,23.0
I Get The Bag,Gucci Mane ,['Hip Hop'],2017-10-21,24.0
What About Us,P!nk,['Pop'],2017-10-21,25.0
Praying,Kesha,['Pop'],2017-10-21,26.0
Young Dumb & Broke,Khalid,['Pop'],2017-10-21,27.0
What Ifs,Kane Brown ,['Country'],2017-10-21,28.0
Havana,Camila Cabello ,['Pop'],2017-10-21,29.0
XO TOUR Llif3,Lil Uzi Vert,['Hip Hop'],2017-10-21,30.0
Body Like A Back Road,Sam Hunt,['Country'],2017-10-21,31.0
Something Just Like This,The Chainsmokers ,['Pop'],2017-10-21,32.0
Love Galore,SZA ,"['Pop', 'R&B', 'Hip Hop']",2017-10-21,33.0
Perfect,Ed Sheeran,['Pop'],2017-10-21,34.0
Congratulations,Post Malone ,"['Pop', 'Hip Hop']",2017-10-21,35.0
Location,Khalid,['Pop'],2017-10-21,36.0
Say You Won't Let Go,James Arthur,['Pop'],2017-10-21,37.0
No Promises,Cheat Codes ,"['Electronic/Dance', 'Pop']",2017-10-21,38.0
I Fall Apart,Post Malone,"['Pop', 'Hip Hop']",2017-10-21,39.0
When It Rains It Pours,Luke Combs,['Country'],2017-10-21,40.0
