song_title,artist,genres,date,rank
Bodak Yellow (Money Moves),Cardi B,,,
Rockstar,Post Malone ,"['Pop', 'Hip Hop']",2017-10-14,2.0
Look What You Made Me Do,Taylor Swift,['Pop'],2017-10-14,3.0
1-800-273-8255,Logic ,['Hip Hop'],2017-10-14,4.0
Despacito,Luis Fonsi ,,2017-10-14,5.0
Unforgettable,French Montana ,['Hip Hop'],2017-10-14,6.0
Feel It Still,Portugal. The Man,,2017-10-14,7.0
Believer,Imagine Dragons,"['Rock', 'Pop']",2017-10-14,8.0
Rake It Up,Yo Gotti ,['Hip Hop'],2017-10-14,9.0
Sorry Not Sorry,Demi Lovato,['Pop'],2017-10-14,10.0
Attention,Charlie Puth,['Pop'],2017-10-14,11.0
Strip That Down,Liam Payne ,['Pop'],2017-10-14,12.0
Slow Hands,Niall Horan,['Pop'],2017-10-14,13.0
Too Good At Goodbyes,Sam Smith,['Pop'],2017-10-14,14.0
Bank Account,21 Savage,['Hip Hop'],2017-10-14,15.0
There's Nothing Holdin' Me Back,Shawn Mendes,['Pop'],2017-10-14,16.0
Thunder,Imagine Dragons,"['Rock', 'Pop']",2017-10-14,17.0
Wild Thoughts,DJ Khaled ,['Hip Hop'],2017-10-14,18.0
Shape Of You,Ed Sheeran,['Pop'],2017-10-14,19.0
What Lovers Do,Maroon 5 ,['Pop'],2017-10-14,20.0
Mi Gente,J Balvin ,,2017-10-14,21.0
That's What I Like,Bruno Mars,['Pop'],2017-10-14,22.0
I Get The Bag,Gucci Mane ,['Hip Hop'],2017-10-14,23.0
Praying,Kesha,['Pop'],2017-10-14,24.0
Young Dumb & Broke,Khalid,['Pop'],2017-10-14,25.0
Body Like A Back Road,Sam Hunt,['Country'],2017-10-14,26.0
XO TOUR Llif3,Lil Uzi Vert,['Hip Hop'],2017-10-14,27.0
Humble.,Kendrick Lamar,['Hip Hop'],2017-10-14,28.0
What About Us,P!nk,['Pop'],2017-10-14,29.0
Something Just Like This,The Chainsmokers ,['Pop'],2017-10-14,30.0
What Ifs,Kane Brown ,['Country'],2017-10-14,31.0
Love Galore,SZA ,"['Pop', 'R&B', 'Hip Hop']",2017-10-14,32.0
Location,Khalid,['Pop'],2017-10-14,33.0
Say You Won't Let Go,James Arthur,['Pop'],2017-10-14,34.0
Congratulations,Post Malone ,"['Pop', 'Hip Hop']",2017-10-14,35.0
Friends,Justin Bieber + BloodPop,['Pop'],2017-10-14,36.0
Small Town Boy,Dustin Lynch,['Country'],2017-10-14,37.0
Loyalty.,Kendrick Lamar ,['Hip Hop'],2017-10-14,38.0
...Ready For It?,Taylor Swift,['Pop'],2017-10-14,39.0
When It Rains It Pours,Luke Combs,['Country'],2017-10-14,40.0
No Promises,Cheat Codes ,"['Electronic/Dance', 'Pop']",2017-10-14,41.0
I'm The One,DJ Khaled ,['Hip Hop'],2017-10-14,42.0
Redbone,Childish Gambino,['Hip Hop'],2017-10-14,43.0
Havana,Camila Cabello ,['Pop'],2017-10-14,44.0
Crew,GoldLink ,,2017-10-14,45.0
Do Re Mi,blackbear,['Pop'],2017-10-14,46.0
Stay,Zedd ,"['Electronic/Dance', 'Pop']",2017-10-14,47.0
New Rules,Dua Lipa,['Pop'],2017-10-14,48.0
Glorious,Macklemore ,,2017-10-14,49.0
The Weekend,SZA,"['Pop', 'R&B', 'Hip Hop']",2017-10-14,50.0
Unforgettable,Thomas Rhett,['Country'],2017-10-14,51.0
Gucci Gang,Lil Pump,['Hip Hop'],2017-10-14,52.0
Feels,Calvin Harris ,"['Electronic/Dance', 'Pop']",2017-10-14,53.0
Butterfly Effect,Travis Scott,['Hip Hop'],2017-10-14,54.0
Silence,Marshmello ,"['Electronic/Dance', 'Pop']",2017-10-14,55.0
Heartache On The Dance Floor,Jon Pardi,['Country'],2017-10-14,56.0
Bad At Love,Halsey,['Pop'],2017-10-14,57.0
Perfect,Ed Sheeran,['Pop'],2017-10-14,58.0
The Race,Tay-K,['Hip Hop'],2017-10-14,59.0
The Way Life Goes,Lil Uzi Vert ,['Hip Hop'],2017-10-14,60.0
Roll In Peace,Kodak Black ,['Hip Hop'],2017-10-14,61.0
Transportin',Kodak Black,['Hip Hop'],2017-10-14,62.0
All The Pretty Girls,Kenny Chesney,['Country'],2017-10-14,63.0
Jocelyn Flores,,,2017-10-14,64.0
I Fall Apart,Post Malone,"['Pop', 'Hip Hop']",2017-10-14,65.0
It's A Vibe,2 Chainz ,['Hip Hop'],2017-10-14,66.0
DNA,BTS,['Pop'],2017-10-14,67.0
F**k Love,,,2017-10-14,68.0
Dusk Till Dawn,Zayn ,['Pop'],2017-10-14,69.0
Good Old Days,Macklemore ,,2017-10-14,70.0
Greatest Love Story,LANCO,,2017-10-14,71.0
Every Little Thing,Carly Pearce,['Country'],2017-10-14,72.0
They Don't Know,Jason Aldean,['Country'],2017-10-14,73.0
Love So Soft,Kelly Clarkson,['Pop'],2017-10-14,74.0
Pills And Automobiles,Chris Brown ,"['R&B', 'Hip Hop']",2017-10-14,75.0
Escapate Conmigo,Wisin ,,2017-10-14,76.0
B.E.D.,Jacquees,"['R&B', 'Hip Hop']",2017-10-14,77.0
No Limit,G-Eazy ,['Hip Hop'],2017-10-14,78.0
Sauce It Up,Lil Uzi Vert,['Hip Hop'],2017-10-14,79.0
Felices Los 4,Maluma,,2017-10-14,80.0
