song_title,artist,genres,date,rank
Bodak Yellow (Money Moves),Cardi B,,,
Rockstar,Post Malone ,"['Pop', 'Hip Hop']",2017-10-07,2.0
Look What You Made Me Do,Taylor Swift,['Pop'],2017-10-07,3.0
1-800-273-8255,Logic ,['Hip Hop'],2017-10-07,4.0
Despacito,Luis Fonsi ,,2017-10-07,5.0
Unforgettable,French Montana ,['Hip Hop'],2017-10-07,6.0
Believer,Imagine Dragons,"['Rock', 'Pop']",2017-10-07,7.0
Rake It Up,Yo Gotti ,['Hip Hop'],2017-10-07,8.0
Attention,Charlie Puth,['Pop'],2017-10-07,9.0
Feel It Still,Portugal. The Man,,2017-10-07,10.0
Slow Hands,Niall Horan,['Pop'],2017-10-07,11.0
Wild Thoughts,DJ Khaled ,['Hip Hop'],2017-10-07,12.0
Strip That Down,Liam Payne ,['Pop'],2017-10-07,13.0
There's Nothing Holdin' Me Back,Shawn Mendes,['Pop'],2017-10-07,14.0
Sorry Not Sorry,Demi Lovato,['Pop'],2017-10-07,15.0
Too Good At Goodbyes,Sam Smith,['Pop'],2017-10-07,16.0
Bank Account,21 Savage,['Hip Hop'],2017-10-07,17.0
Shape Of You,Ed Sheeran,['Pop'],2017-10-07,18.0
Mi Gente,J Balvin ,,2017-10-07,19.0
That's What I Like,Bruno Mars,['Pop'],2017-10-07,20.0
XO TOUR Llif3,Lil Uzi Vert,['Hip Hop'],2017-10-07,21.0
I Get The Bag,Gucci Mane ,['Hip Hop'],2017-10-07,22.0
What Lovers Do,Maroon 5 ,['Pop'],2017-10-07,23.0
Body Like A Back Road,Sam Hunt,['Country'],2017-10-07,24.0
Humble.,Kendrick Lamar,['Hip Hop'],2017-10-07,25.0
What About Us,P!nk,['Pop'],2017-10-07,26.0
Young Dumb & Broke,Khalid,['Pop'],2017-10-07,27.0
Praying,Kesha,['Pop'],2017-10-07,28.0
Something Just Like This,The Chainsmokers ,['Pop'],2017-10-07,29.0
Thunder,Imagine Dragons,"['Rock', 'Pop']",2017-10-07,30.0
Location,Khalid,['Pop'],2017-10-07,31.0
What Ifs,Kane Brown ,['Country'],2017-10-07,32.0
Love Galore,SZA ,"['Pop', 'R&B', 'Hip Hop']",2017-10-07,33.0
...Ready For It?,Taylor Swift,['Pop'],2017-10-07,34.0
Friends,Justin Bieber + BloodPop,['Pop'],2017-10-07,35.0
Congratulations,Post Malone ,"['Pop', 'Hip Hop']",2017-10-07,36.0
Say You Won't Let Go,James Arthur,['Pop'],2017-10-07,37.0
Redbone,Childish Gambino,['Hip Hop'],2017-10-07,38.0
I'm The One,DJ Khaled ,['Hip Hop'],2017-10-07,39.0
Small Town Boy,Dustin Lynch,['Country'],2017-10-07,40.0
Loyalty.,Kendrick Lamar ,['Hip Hop'],2017-10-07,41.0
Stay,Zedd ,"['Electronic/Dance', 'Pop']",2017-10-07,42.0
Feels,Calvin Harris ,"['Electronic/Dance', 'Pop']",2017-10-07,43.0
When It Rains It Pours,Luke Combs,['Country'],2017-10-07,44.0
No Promises,Cheat Codes ,"['Electronic/Dance', 'Pop']",2017-10-07,45.0
Crew,GoldLink ,,2017-10-07,46.0
Heartache On The Dance Floor,Jon Pardi,['Country'],2017-10-07,47.0
Mask Off,Future,['Hip Hop'],2017-10-07,48.0
Unforgettable,Thomas Rhett,['Country'],2017-10-07,49.0
Jocelyn Flores,,,2017-10-07,50.0
Do Re Mi,blackbear,['Pop'],2017-10-07,51.0
The Weekend,SZA,"['Pop', 'R&B', 'Hip Hop']",2017-10-07,52.0
New Rules,Dua Lipa,['Pop'],2017-10-07,53.0
The Race,Tay-K,['Hip Hop'],2017-10-07,54.0
Transportin',Kodak Black,['Hip Hop'],2017-10-07,55.0
Silence,Marshmello ,"['Electronic/Dance', 'Pop']",2017-10-07,56.0
Butterfly Effect,Travis Scott,['Hip Hop'],2017-10-07,57.0
The Way Life Goes,Lil Uzi Vert ,['Hip Hop'],2017-10-07,58.0
Roll In Peace,Kodak Black ,['Hip Hop'],2017-10-07,59.0
It's A Vibe,2 Chainz ,['Hip Hop'],2017-10-07,60.0
Bad At Love,Halsey,['Pop'],2017-10-07,61.0
Glorious,Macklemore ,,2017-10-07,62.0
Dusk Till Dawn,Zayn ,['Pop'],2017-10-07,63.0
Havana,Camila Cabello ,['Pop'],2017-10-07,64.0
F**k Love,,,2017-10-07,65.0
Too Much To Ask,Niall Horan,['Pop'],2017-10-07,66.0
Curve,Gucci Mane ,['Hip Hop'],2017-10-07,67.0
All The Pretty Girls,Kenny Chesney,['Country'],2017-10-07,68.0
Sauce It Up,Lil Uzi Vert,['Hip Hop'],2017-10-07,69.0
Escapate Conmigo,Wisin ,,2017-10-07,70.0
Gucci Gang,Lil Pump,['Hip Hop'],2017-10-07,71.0
Felices Los 4,Maluma,,2017-10-07,72.0
B.E.D.,Jacquees,"['R&B', 'Hip Hop']",2017-10-07,73.0
They Don't Know,Jason Aldean,['Country'],2017-10-07,74.0
Greatest Love Story,LANCO,,2017-10-07,75.0
Every Little Thing,Carly Pearce,['Country'],2017-10-07,76.0
No Such Thing As A Broken Heart,Old Dominion,['Country'],2017-10-07,77.0
Back To You,Louis Tomlinson ,['Pop'],2017-10-07,78.0
Pills And Automobiles,Chris Brown ,"['R&B', 'Hip Hop']",2017-10-07,79.0
Whatever You Need,Meek Mill ,['Hip Hop'],2017-10-07,80.0
Love So Soft,Kelly Clarkson,['Pop'],2017-10-07,81.0
Relationship,Young Thug ,['Hip Hop'],2017-10-07,82.0
More Girls Like You,Kip Moore,['Country'],2017-10-07,83.0
Questions,Chris Brown,"['R&B', 'Hip Hop']",2017-10-07,84.0
DNA,BTS,['Pop'],2017-10-07,85.0
Light It Up,Luke Bryan,['Country'],2017-10-07,86.0
Fetish,Selena Gomez ,['Pop'],2017-10-07,87.0
I'll Name The Dogs,Blake Shelton,['Country'],2017-10-07,88.0
Perfect,Ed Sheeran,['Pop'],2017-10-07,89.0
I Could Use A Love Song,Maren Morris,,2017-10-07,90.0
It Ain't My Fault,Brothers Osborne,['Country'],2017-10-07,91.0
Homemade Dynamite,Lorde ,['Pop'],2017-10-07,92.0
Drinkin' Problem,Midland,,2017-10-07,93.0
Fix A Drink,Chris Janson,['Country'],2017-10-07,94.0
Do I Make You Wanna,Billy Currington,['Country'],2017-10-07,95.0
Everybody Dies In Their Nightmares,,,2017-10-07,96.0
No Limit,G-Eazy ,['Hip Hop'],2017-10-07,97.0
These Heaux,Bhad Bhabie,,2017-10-07,98.0
Wish I Knew You,The Revivalists,,2017-10-07,99.0
No Complaints,Metro Boomin ,['Hip Hop'],2017-10-07,100.0
