date,rank,song_title,artist
2016-01-02,1,Hello,Adele
2016-01-02,2,Sorry,Justin Bieber
2016-01-02,3,Hotline Bling,Drake
2016-01-02,4,Love Yourself,Justin Bieber
2016-01-02,5,What Do You Mean?,Justin Bieber
2016-01-02,6,Same Old Love,Selena Gomez
2016-01-02,7,The Hills,The Weeknd
2016-01-02,8,Here,Alessia Cara
2016-01-02,9,Stitches,Shawn Mendes
2016-01-02,10,Like I'm Gonna Lose You,Meghan Trainor 
2016-01-02,11,679,Fetty Wap 
2016-01-02,12,In The Night,The Weeknd
2016-01-02,13,Jumpman,Drake 
2016-01-02,14,On My Mind,Ellie Goulding
2016-01-02,15,Can't Feel My Face,The Weeknd
2016-01-02,16,Antidote,Travis Scott
2016-01-02,17,Ex's & Oh's,Elle King
2016-01-02,18,All I Want For Christmas Is You,Mariah Carey
2016-01-02,19,Stressed Out,twenty one pilots
2016-01-02,20,Don't,Bryson Tiller
2016-01-02,21,Die A Happy Man,Thomas Rhett
2016-01-02,22,White Iverson,Post Malone
2016-01-02,23,Wildest Dreams,Taylor Swift
2016-01-02,24,Mary Did You Know,Jordan Smith
2016-01-02,25,Lean On,Major Lazer 
2016-01-02,26,Roses,The Chainsmokers 
2016-01-02,27,Watch Me,Silento
2016-01-02,28,Say It,Tory Lanez
2016-01-02,29,Burning House,Cam
2016-01-02,30,Confident,Demi Lovato
2016-01-02,31,Trap Queen,Fetty Wap
2016-01-02,32,Perfect,One Direction
2016-01-02,33,Focus,Ariana Grande
2016-01-02,34,Break Up In A Small Town,Sam Hunt
2016-01-02,35,Where Ya At,Future 
2016-01-02,36,No Role Modelz,J. Cole
2016-01-02,37,Locked Away,R. City 
2016-01-02,38,Rockin' Around The Christmas Tree,Brenda Lee
2016-01-02,39,Where Are U Now,Skrille
2016-01-02,40,"Me, Myself & I",G-Eazy 
2016-01-02,41,Hide Away,Daya
2016-01-02,42,See You Again,Wiz Khalifa 
2016-01-02,43,Good For You,Selena Gomez 
2016-01-02,44,Adventure Of A Lifetime,Coldplay
2016-01-02,45,Again,Fetty Wap
2016-01-02,46,I Know What You Did Last Summer,Shawn Mendes 
2016-01-02,47,Cake By The Ocean,DNCE
2016-01-02,48,Exchange,Bryson Tiller
2016-01-02,49,Cheerleader,OMI
2016-01-02,50,Drag Me Down,One Direction
2016-01-02,51,My House,Flo Rida
2016-01-02,52,Hit The Quan,iLoveMemphis
2016-01-02,53,Back Up,DeJ Loaf 
2016-01-02,54,WTF (Where They From),Missy Elliott 
2016-01-02,55,When We Were Young,Adele
2016-01-02,56,Burning House,Emily Ann Roberts
2016-01-02,57,Down In The DM,Yo Gotti 
2016-01-02,58,Stay A Little Longer,Brothers Osborne
2016-01-02,59,I'll Show You,Justin Bieber
2016-01-02,60,One Call Away,Charlie Puth
2016-01-02,61,Home Alone Tonight,Luke Bryan 
2016-01-02,62,Hands To Myself,Selena Gomez
2016-01-02,63,Gonna,Blake Shelton
2016-01-02,64,Back To Sleep,Chris Brown
2016-01-02,65,The Fix,Nelly 
2016-01-02,66,Gonna Know We Were Here,Jason Aldean
2016-01-02,67,Used To Love You,Gwen Stefani
2016-01-02,68,Do It Like Me,DLOW
2016-01-02,69,You Should Be Here,Cole Swindell
2016-01-02,70,Big Rings,Drake 
2016-01-02,71,I Got The Boy,Jana Kramer
2016-01-02,72,Climb Every Mountain,Jordan Smith
2016-01-02,73,I Love This Life,LOCASH
2016-01-02,74,Back To Back,Drake
2016-01-02,75,Lay It All On Me,Rudimental 
2016-01-02,76,Top Of The World,Tim McGraw
2016-01-02,77,Stand By You,Rachel Platten
2016-01-02,78,Best Friend,Young Thug
2016-01-02,79,Irresistible,Fall Out Boy
2016-01-02,80,New Americana,Halsey
2016-01-02,81,$ave Dat Money,Lil Dicky 
2016-01-02,82,The Feeling,Justin Bieber 
2016-01-02,83,Blase,Ty Dolla $ign 
2016-01-02,84,Come Get Her,Rae Sremmurd
2016-01-02,85,Nothin' Like You,Dan + Shay
2016-01-02,86,Good To Be Alive (Hallelujah),Andy Grammer
2016-01-02,87,Dibs,Kelsea Ballerini
2016-01-02,88,Strip It Down,Luke Bryan
2016-01-02,89,Downtown,Macklemore 
2016-01-02,90,God Only Knows,Jordan Smith 
2016-01-02,91,Backroad Song,Granger Smith
2016-01-02,92,Dessert,Dawin
2016-01-02,93,Play No Games,Big Sean 
2016-01-02,94,Right Hand,Drake
2016-01-02,95,Sorry Not Sorry,Bryson Tiller
2016-01-02,96,Beautiful Drug,Zac Brown Band
2016-01-02,97,Smoke Break,Carrie Underwood
2016-01-02,98,Hollow,Tori Kelly
2016-01-02,99,Somebody To Love,Jordan Smith
2016-01-02,100,Purpose,Justin Bieber
2016-01-09,1,Hello,Adele
2016-01-09,2,Sorry,Justin Bieber
2016-01-09,3,Love Yourself,Justin Bieber
2016-01-09,4,Hotline Bling,Drake
2016-01-09,5,What Do You Mean?,Justin Bieber
2016-01-09,6,Same Old Love,Selena Gomez
2016-01-09,7,Here,Alessia Cara
2016-01-09,8,Stitches,Shawn Mendes
2016-01-09,9,The Hills,The Weeknd
2016-01-09,10,Like I'm Gonna Lose You,Meghan Trainor 
2016-01-09,11,All I Want For Christmas Is You,Mariah Carey
2016-01-09,12,Jumpman,Drake 
2016-01-09,13,Stressed Out,twenty one pilots
2016-01-09,14,679,Fetty Wap 
2016-01-09,15,In The Night,The Weeknd
2016-01-09,16,Antidote,Travis Scott
2016-01-09,17,On My Mind,Ellie Goulding
2016-01-09,18,Don't,Bryson Tiller
2016-01-09,19,Watch Me,Silento
2016-01-09,20,Roses,The Chainsmokers 
2016-01-09,21,Can't Feel My Face,The Weeknd
2016-01-09,22,Wildest Dreams,Taylor Swift
2016-01-09,23,Ex's & Oh's,Elle King
2016-01-09,24,White Iverson,Post Malone
2016-01-09,25,Die A Happy Man,Thomas Rhett
2016-01-09,26,Say It,Tory Lanez
2016-01-09,27,Confident,Demi Lovato
2016-01-09,28,Lean On,Major Lazer 
2016-01-09,29,Trap Queen,Fetty Wap
2016-01-09,30,Rockin' Around The Christmas Tree,Brenda Lee
2016-01-09,31,Perfect,One Direction
2016-01-09,32,Break Up In A Small Town,Sam Hunt
2016-01-09,33,I Know What You Did Last Summer,Shawn Mendes 
2016-01-09,34,Hit The Quan,iLoveMemphis
2016-01-09,35,Focus,Ariana Grande
2016-01-09,36,"Me, Myself & I",G-Eazy 
2016-01-09,37,My House,Flo Rida
2016-01-09,38,The Christmas Song (Merry Christmas To You),Nat King Cole
2016-01-09,39,Hands To Myself,Selena Gomez
2016-01-09,40,No Role Modelz,J. Cole
2016-01-09,41,See You Again,Wiz Khalifa 
2016-01-09,42,Hide Away,Daya
2016-01-09,43,Cake By The Ocean,DNCE
2016-01-09,44,Again,Fetty Wap
2016-01-09,45,Where Ya At,Future 
2016-01-09,46,Locked Away,R. City 
2016-01-09,47,Jingle Bell Rock,Bobby Helms
2016-01-09,48,Do It Like Me,DLOW
2016-01-09,49,Where Are U Now,Skrille
2016-01-09,50,Burning House,Cam
2016-01-09,51,Exchange,Bryson Tiller
2016-01-09,52,Down In The DM,Yo Gotti 
2016-01-09,53,Back To Sleep,Chris Brown
2016-01-09,54,When We Were Young,Adele
2016-01-09,55,Adventure Of A Lifetime,Coldplay
2016-01-09,56,Back Up,DeJ Loaf 
2016-01-09,57,One Call Away,Charlie Puth
2016-01-09,58,WTF (Where They From),Missy Elliott 
2016-01-09,59,I'll Show You,Justin Bieber
2016-01-09,60,Home Alone Tonight,Luke Bryan 
2016-01-09,61,Big Rings,Drake 
2016-01-09,62,The Fix,Nelly 
2016-01-09,63,Best Friend,Young Thug
2016-01-09,64,Stay A Little Longer,Brothers Osborne
2016-01-09,65,Gonna Know We Were Here,Jason Aldean
2016-01-09,66,Stand By You,Rachel Platten
2016-01-09,67,Used To Love You,Gwen Stefani
2016-01-09,68,Irresistible,Fall Out Boy
2016-01-09,69,I Got The Boy,Jana Kramer
2016-01-09,70,I Love This Life,LOCASH
2016-01-09,71,New Americana,Halsey
2016-01-09,72,You Should Be Here,Cole Swindell
2016-01-09,73,$ave Dat Money,Lil Dicky 
2016-01-09,74,Gonna,Blake Shelton
2016-01-09,75,Dessert,Dawin
2016-01-09,76,Come Get Her,Rae Sremmurd
2016-01-09,77,Liquor,Chris Brown
2016-01-09,78,Lay It All On Me,Rudimental 
2016-01-09,79,Right Hand,Drake
2016-01-09,80,Zero,Chris Brown
2016-01-09,81,Hallelujah,Lindsey Stirling
2016-01-09,82,Downtown,Macklemore 
2016-01-09,83,Good To Be Alive (Hallelujah),Andy Grammer
2016-01-09,84,The Feeling,Justin Bieber 
2016-01-09,85,Top Of The World,Tim McGraw
2016-01-09,86,RGF Island,Fetty Wap
2016-01-09,87,Blase,Ty Dolla $ign 
2016-01-09,88,Backroad Song,Granger Smith
2016-01-09,89,Ginza,J Balvin
2016-01-09,90,Sorry Not Sorry,Bryson Tiller
2016-01-09,91,Little More (Royalty),Chris Brown
2016-01-09,92,Beautiful Drug,Zac Brown Band
2016-01-09,93,Play No Games,Big Sean 
2016-01-09,94,Really Really,Kevin Gates
2016-01-09,95,Purpose,Justin Bieber
2016-01-09,96,Hollow,Tori Kelly
2016-01-09,97,Dibs,Kelsea Ballerini
2016-01-09,98,Let It Go,James Bay
2016-01-09,99,Stick Talk,Future
2016-01-09,100,Get Ugly,Jason Derulo
2016-01-16,1,Hello,Adele
2016-01-16,2,Sorry,Justin Bieber
2016-01-16,3,Love Yourself,Justin Bieber
2016-01-16,4,Hotline Bling,Drake
2016-01-16,5,What Do You Mean?,Justin Bieber
2016-01-16,6,Stitches,Shawn Mendes
2016-01-16,7,Same Old Love,Selena Gomez
2016-01-16,8,Here,Alessia Cara
2016-01-16,9,Stressed Out,twenty one pilots
2016-01-16,10,Like I'm Gonna Lose You,Meghan Trainor 
2016-01-16,11,The Hills,The Weeknd
2016-01-16,12,679,Fetty Wap 
2016-01-16,13,Jumpman,Drake 
2016-01-16,14,Ex's & Oh's,Elle King
2016-01-16,15,White Iverson,Post Malone
2016-01-16,16,On My Mind,Ellie Goulding
2016-01-16,17,Antidote,Travis Scott
2016-01-16,18,Wildest Dreams,Taylor Swift
2016-01-16,19,Watch Me,Silento
2016-01-16,20,In The Night,The Weeknd
2016-01-16,21,Don't,Bryson Tiller
2016-01-16,22,Roses,The Chainsmokers 
2016-01-16,23,Confident,Demi Lovato
2016-01-16,24,Can't Feel My Face,The Weeknd
2016-01-16,25,Die A Happy Man,Thomas Rhett
2016-01-16,26,Perfect,One Direction
2016-01-16,27,Trap Queen,Fetty Wap
2016-01-16,28,I Know What You Did Last Summer,Shawn Mendes 
2016-01-16,29,Break Up In A Small Town,Sam Hunt
2016-01-16,30,See You Again,Wiz Khalifa 
2016-01-16,31,Hide Away,Daya
2016-01-16,32,Say It,Tory Lanez
2016-01-16,33,Lean On,Major Lazer 
2016-01-16,34,My House,Flo Rida
2016-01-16,35,"Me, Myself & I",G-Eazy 
2016-01-16,36,One Call Away,Charlie Puth
2016-01-16,37,Hit The Quan,iLoveMemphis
2016-01-16,38,Again,Fetty Wap
2016-01-16,39,Focus,Ariana Grande
2016-01-16,40,Locked Away,R. City 
2016-01-16,41,Cake By The Ocean,DNCE
2016-01-16,42,Hands To Myself,Selena Gomez
2016-01-16,43,No Role Modelz,J. Cole
2016-01-16,44,Burning House,Cam
2016-01-16,45,Where Ya At,Future 
2016-01-16,46,Exchange,Bryson Tiller
2016-01-16,47,When We Were Young,Adele
2016-01-16,48,Down In The DM,Yo Gotti 
2016-01-16,49,Where Are U Now,Skrille
2016-01-16,50,Stand By You,Rachel Platten
2016-01-16,51,Do It Like Me,DLOW
2016-01-16,52,Back Up,DeJ Loaf 
2016-01-16,53,Home Alone Tonight,Luke Bryan 
2016-01-16,54,Adventure Of A Lifetime,Coldplay
2016-01-16,55,Irresistible,Fall Out Boy
2016-01-16,56,Gonna Know We Were Here,Jason Aldean
2016-01-16,57,Big Rings,Drake 
2016-01-16,58,I'll Show You,Justin Bieber
2016-01-16,59,Back To Sleep,Chris Brown
2016-01-16,60,New Americana,Halsey
2016-01-16,61,Stay A Little Longer,Brothers Osborne
2016-01-16,62,Good To Be Alive (Hallelujah),Andy Grammer
2016-01-16,63,WTF (Where They From),Missy Elliott 
2016-01-16,64,I Got The Boy,Jana Kramer
2016-01-16,65,I Love This Life,LOCASH
2016-01-16,66,Right Hand,Drake
2016-01-16,67,Best Friend,Young Thug
2016-01-16,68,Used To Love You,Gwen Stefani
2016-01-16,69,The Fix,Nelly 
2016-01-16,70,Get Ugly,Jason Derulo
2016-01-16,71,Come Get Her,Rae Sremmurd
2016-01-16,72,Downtown,Macklemore 
2016-01-16,73,Dessert,Dawin
2016-01-16,74,RGF Island,Fetty Wap
2016-01-16,75,Gonna,Blake Shelton
2016-01-16,76,Dibs,Kelsea Ballerini
2016-01-16,77,Sorry Not Sorry,Bryson Tiller
2016-01-16,78,$ave Dat Money,Lil Dicky 
2016-01-16,79,Really Really,Kevin Gates
2016-01-16,80,Hollow,Tori Kelly
2016-01-16,81,Beautiful Drug,Zac Brown Band
2016-01-16,82,Backroad Song,Granger Smith
2016-01-16,83,Blase,Ty Dolla $ign 
2016-01-16,84,Top Of The World,Tim McGraw
2016-01-16,85,Watch Out,2 Chainz
2016-01-16,86,Purpose,Justin Bieber
2016-01-16,87,Smoke Break,Carrie Underwood
2016-01-16,88,Lay It All On Me,Rudimental 
2016-01-16,89,Liquor,Chris Brown
2016-01-16,90,Let It Go,James Bay
2016-01-16,91,Stick Talk,Future
2016-01-16,92,Mr. Misunderstood,Eric Church
2016-01-16,93,The Feeling,Justin Bieber 
2016-01-16,94,Break On Me.,Keith Urban
2016-01-16,95,Zero,Chris Brown
2016-01-16,96,Jugg,Fetty Wap 
2016-01-16,97,You Should Be Here,Cole Swindell
2016-01-16,98,We Went,Randy Houser
2016-01-16,99,Confession,Florida Georgia Line
2016-01-16,100,Play No Games,Big Sean 
2016-01-23,1,Sorry,Justin Bieber
2016-01-23,2,Hello,Adele
2016-01-23,3,Love Yourself,Justin Bieber
2016-01-23,4,Hotline Bling,Drake
2016-01-23,5,Stressed Out,twenty one pilots
2016-01-23,6,Same Old Love,Selena Gomez
2016-01-23,7,Stitches,Shawn Mendes
2016-01-23,8,What Do You Mean?,Justin Bieber
2016-01-23,9,Here,Alessia Cara
2016-01-23,10,Like I'm Gonna Lose You,Meghan Trainor 
2016-01-23,11,The Hills,The Weeknd
2016-01-23,12,Jumpman,Drake 
2016-01-23,13,Roses,The Chainsmokers 
2016-01-23,14,White Iverson,Post Malone
2016-01-23,15,On My Mind,Ellie Goulding
2016-01-23,16,In The Night,The Weeknd
2016-01-23,17,Don't,Bryson Tiller
2016-01-23,18,679,Fetty Wap 
2016-01-23,19,Antidote,Travis Scott
2016-01-23,20,Ex's & Oh's,Elle King
2016-01-23,21,Wildest Dreams,Taylor Swift
2016-01-23,22,I Know What You Did Last Summer,Shawn Mendes 
2016-01-23,23,Die A Happy Man,Thomas Rhett
2016-01-23,24,Can't Feel My Face,The Weeknd
2016-01-23,25,Confident,Demi Lovato
2016-01-23,26,Cake By The Ocean,DNCE
2016-01-23,27,Watch Me,Silento
2016-01-23,28,Perfect,One Direction
2016-01-23,29,"Me, Myself & I",G-Eazy 
2016-01-23,30,Say It,Tory Lanez
2016-01-23,31,Lean On,Major Lazer 
2016-01-23,32,My House,Flo Rida
2016-01-23,33,Hide Away,Daya
2016-01-23,34,Break Up In A Small Town,Sam Hunt
2016-01-23,35,Trap Queen,Fetty Wap
2016-01-23,36,See You Again,Wiz Khalifa 
2016-01-23,37,One Call Away,Charlie Puth
2016-01-23,38,Stand By You,Rachel Platten
2016-01-23,39,Down In The DM,Yo Gotti 
2016-01-23,40,No Role Modelz,J. Cole
2016-01-23,41,When We Were Young,Adele
2016-01-23,42,Hands To Myself,Selena Gomez
2016-01-23,43,Again,Fetty Wap
2016-01-23,44,Exchange,Bryson Tiller
2016-01-23,45,Locked Away,R. City 
2016-01-23,46,Out Of The Woods,Taylor Swift
2016-01-23,47,Where Ya At,Future 
2016-01-23,48,Irresistible,Fall Out Boy
2016-01-23,49,Where Are U Now,Skrille
2016-01-23,50,Focus,Ariana Grande
2016-01-23,51,Home Alone Tonight,Luke Bryan 
2016-01-23,52,Adventure Of A Lifetime,Coldplay
2016-01-23,53,Back To Sleep,Chris Brown
2016-01-23,54,Gonna Know We Were Here,Jason Aldean
2016-01-23,55,Stay A Little Longer,Brothers Osborne
2016-01-23,56,Back Up,DeJ Loaf 
2016-01-23,57,I Love This Life,LOCASH
2016-01-23,58,I Got The Boy,Jana Kramer
2016-01-23,59,Do It Like Me,DLOW
2016-01-23,60,Best Friend,Young Thug
2016-01-23,61,Used To Love You,Gwen Stefani
2016-01-23,62,Good To Be Alive (Hallelujah),Andy Grammer
2016-01-23,63,Big Rings,Drake 
2016-01-23,64,New Americana,Halsey
2016-01-23,65,WTF (Where They From),Missy Elliott 
2016-01-23,66,Get Ugly,Jason Derulo
2016-01-23,67,I'll Show You,Justin Bieber
2016-01-23,68,The Fix,Nelly 
2016-01-23,69,Backroad Song,Granger Smith
2016-01-23,70,Downtown,Macklemore 
2016-01-23,71,Beautiful Drug,Zac Brown Band
2016-01-23,72,Gonna,Blake Shelton
2016-01-23,73,Dessert,Dawin
2016-01-23,74,Break On Me.,Keith Urban
2016-01-23,75,Dibs,Kelsea Ballerini
2016-01-23,76,Heartbeat,Carrie Underwood
2016-01-23,77,$ave Dat Money,Lil Dicky 
2016-01-23,78,Right Hand,Drake
2016-01-23,79,Top Of The World,Tim McGraw
2016-01-23,80,Sorry Not Sorry,Bryson Tiller
2016-01-23,81,Oui,Jeremih
2016-01-23,82,Lay It All On Me,Rudimental 
2016-01-23,83,Really Really,Kevin Gates
2016-01-23,84,Mr. Misunderstood,Eric Church
2016-01-23,85,Come Get Her,Rae Sremmurd
2016-01-23,86,Watch Out,2 Chainz
2016-01-23,87,Sugar,Robin Schulz 
2016-01-23,88,Hollow,Tori Kelly
2016-01-23,89,Play No Games,Big Sean 
2016-01-23,90,Let It Go,James Bay
2016-01-23,91,Confession,Florida Georgia Line
2016-01-23,92,We Went,Randy Houser
2016-01-23,93,2 Phones,Kevin Gates
2016-01-23,94,RGF Island,Fetty Wap
2016-01-23,95,Smoke Break,Carrie Underwood
2016-01-23,96,Ginza,J Balvin
2016-01-23,97,Nobody To Blame,Chris Stapleton
2016-01-23,98,You Should Be Here,Cole Swindell
2016-01-23,99,Blase,Ty Dolla $ign 
2016-01-23,100,Tennessee Whiskey,Chris Stapleton
2016-01-30,1,Sorry,Justin Bieber
2016-01-30,2,Hello,Adele
2016-01-30,3,Love Yourself,Justin Bieber
2016-01-30,4,Stressed Out,twenty one pilots
2016-01-30,5,Same Old Love,Selena Gomez
2016-01-30,6,Here,Alessia Cara
2016-01-30,7,Hotline Bling,Drake
2016-01-30,8,Stitches,Shawn Mendes
2016-01-30,9,Like I'm Gonna Lose You,Meghan Trainor 
2016-01-30,10,What Do You Mean?,Justin Bieber
2016-01-30,11,Roses,The Chainsmokers 
2016-01-30,12,Jumpman,Drake 
2016-01-30,13,Don't,Bryson Tiller
2016-01-30,14,The Hills,The Weeknd
2016-01-30,15,In The Night,The Weeknd
2016-01-30,16,White Iverson,Post Malone
2016-01-30,17,Antidote,Travis Scott
2016-01-30,18,679,Fetty Wap 
2016-01-30,19,"Me, Myself & I",G-Eazy 
2016-01-30,20,I Know What You Did Last Summer,Shawn Mendes 
2016-01-30,21,On My Mind,Ellie Goulding
2016-01-30,22,Cake By The Ocean,DNCE
2016-01-30,23,My House,Flo Rida
2016-01-30,24,Die A Happy Man,Thomas Rhett
2016-01-30,25,Ex's & Oh's,Elle King
2016-01-30,26,Say It,Tory Lanez
2016-01-30,27,Can't Feel My Face,The Weeknd
2016-01-30,28,Wildest Dreams,Taylor Swift
2016-01-30,29,Watch Me,Silento
2016-01-30,30,Confident,Demi Lovato
2016-01-30,31,Hide Away,Daya
2016-01-30,32,Lean On,Major Lazer 
2016-01-30,33,Break Up In A Small Town,Sam Hunt
2016-01-30,34,One Call Away,Charlie Puth
2016-01-30,35,Perfect,One Direction
2016-01-30,36,Down In The DM,Yo Gotti 
2016-01-30,37,Hands To Myself,Selena Gomez
2016-01-30,38,See You Again,Wiz Khalifa 
2016-01-30,39,Trap Queen,Fetty Wap
2016-01-30,40,Lazarus,David Bowie
2016-01-30,41,When We Were Young,Adele
2016-01-30,42,Space Oddity,David Bowie
2016-01-30,43,No Role Modelz,J. Cole
2016-01-30,44,Exchange,Bryson Tiller
2016-01-30,45,Under Pressure,Queen 
2016-01-30,46,Stand By You,Rachel Platten
2016-01-30,47,Again,Fetty Wap
2016-01-30,48,Home Alone Tonight,Luke Bryan 
2016-01-30,49,Locked Away,R. City 
2016-01-30,50,Adventure Of A Lifetime,Coldplay
2016-01-30,51,Back To Sleep,Chris Brown
2016-01-30,52,Best Friend,Young Thug
2016-01-30,53,Focus,Ariana Grande
2016-01-30,54,Stay A Little Longer,Brothers Osborne
2016-01-30,55,Out Of The Woods,Taylor Swift
2016-01-30,56,I Got The Boy,Jana Kramer
2016-01-30,57,Irresistible,Fall Out Boy
2016-01-30,58,Do It Like Me,DLOW
2016-01-30,59,I Love This Life,LOCASH
2016-01-30,60,Back Up,DeJ Loaf 
2016-01-30,61,Gonna Know We Were Here,Jason Aldean
2016-01-30,62,Get Ugly,Jason Derulo
2016-01-30,63,Big Rings,Drake 
2016-01-30,64,Oui,Jeremih
2016-01-30,65,Backroad Song,Granger Smith
2016-01-30,66,The Fix,Nelly 
2016-01-30,67,I'll Show You,Justin Bieber
2016-01-30,68,Sugar,Robin Schulz 
2016-01-30,69,Beautiful Drug,Zac Brown Band
2016-01-30,70,Heartbeat,Carrie Underwood
2016-01-30,71,2 Phones,Kevin Gates
2016-01-30,72,Break On Me.,Keith Urban
2016-01-30,73,WTF (Where They From),Missy Elliott 
2016-01-30,74,Sorry Not Sorry,Bryson Tiller
2016-01-30,75,Dibs,Kelsea Ballerini
2016-01-30,76,New Americana,Halsey
2016-01-30,77,$ave Dat Money,Lil Dicky 
2016-01-30,78,Blackstar,David Bowie
2016-01-30,79,Dessert,Dawin
2016-01-30,80,Used To Love You,Gwen Stefani
2016-01-30,81,Good To Be Alive (Hallelujah),Andy Grammer
2016-01-30,82,You Should Be Here,Cole Swindell
2016-01-30,83,Really Really,Kevin Gates
2016-01-30,84,Confession,Florida Georgia Line
2016-01-30,85,Watch Out,2 Chainz
2016-01-30,86,Mr. Misunderstood,Eric Church
2016-01-30,87,Let It Go,James Bay
2016-01-30,88,Lay It All On Me,Rudimental 
2016-01-30,89,Play No Games,Big Sean 
2016-01-30,90,Hollow,Tori Kelly
2016-01-30,91,Right Hand,Drake
2016-01-30,92,Gonna,Blake Shelton
2016-01-30,93,We Went,Randy Houser
2016-01-30,94,Drunk On Your Love,Brett Eldredge
2016-01-30,95,RGF Island,Fetty Wap
2016-01-30,96,Come Get Her,Rae Sremmurd
2016-01-30,97,Nobody To Blame,Chris Stapleton
2016-01-30,98,Bang My Head,David Guetta 
2016-01-30,99,Blase,Ty Dolla $ign 
2016-01-30,100,Ginza,J Balvin
2016-02-06,1,Sorry,Justin Bieber
2016-02-06,2,Love Yourself,Justin Bieber
2016-02-06,3,Hello,Adele
2016-02-06,4,Stressed Out,twenty one pilots
2016-02-06,5,Here,Alessia Cara
2016-02-06,6,Stitches,Shawn Mendes
2016-02-06,7,Same Old Love,Selena Gomez
2016-02-06,8,Roses,The Chainsmokers 
2016-02-06,9,Hotline Bling,Drake
2016-02-06,10,What Do You Mean?,Justin Bieber
2016-02-06,11,Like I'm Gonna Lose You,Meghan Trainor 
2016-02-06,12,My House,Flo Rida
2016-02-06,13,In The Night,The Weeknd
2016-02-06,14,Jumpman,Drake 
2016-02-06,15,Don't,Bryson Tiller
2016-02-06,16,"Me, Myself & I",G-Eazy 
2016-02-06,17,White Iverson,Post Malone
2016-02-06,18,The Hills,The Weeknd
2016-02-06,19,Antidote,Travis Scott
2016-02-06,20,679,Fetty Wap 
2016-02-06,21,Hands To Myself,Selena Gomez
2016-02-06,22,Cake By The Ocean,DNCE
2016-02-06,23,Say It,Tory Lanez
2016-02-06,24,I Know What You Did Last Summer,Shawn Mendes 
2016-02-06,25,Die A Happy Man,Thomas Rhett
2016-02-06,26,One Call Away,Charlie Puth
2016-02-06,27,On My Mind,Ellie Goulding
2016-02-06,28,Watch Me,Silento
2016-02-06,29,Ex's & Oh's,Elle King
2016-02-06,30,Hide Away,Daya
2016-02-06,31,Down In The DM,Yo Gotti 
2016-02-06,32,Can't Feel My Face,The Weeknd
2016-02-06,33,Break Up In A Small Town,Sam Hunt
2016-02-06,34,Wildest Dreams,Taylor Swift
2016-02-06,35,When We Were Young,Adele
2016-02-06,36,Lean On,Major Lazer 
2016-02-06,37,See You Again,Wiz Khalifa 
2016-02-06,38,Perfect,One Direction
2016-02-06,39,Exchange,Bryson Tiller
2016-02-06,40,Confident,Demi Lovato
2016-02-06,41,No Role Modelz,J. Cole
2016-02-06,42,Stand By You,Rachel Platten
2016-02-06,43,Again,Fetty Wap
2016-02-06,44,Home Alone Tonight,Luke Bryan 
2016-02-06,45,Best Friend,Young Thug
2016-02-06,46,Stay A Little Longer,Brothers Osborne
2016-02-06,47,Adventure Of A Lifetime,Coldplay
2016-02-06,48,Locked Away,R. City 
2016-02-06,49,Back To Sleep,Chris Brown
2016-02-06,50,Out Of The Woods,Taylor Swift
2016-02-06,51,Focus,Ariana Grande
2016-02-06,52,Irresistible,Fall Out Boy
2016-02-06,53,Do It Like Me,DLOW
2016-02-06,54,Get Ugly,Jason Derulo
2016-02-06,55,Oui,Jeremih
2016-02-06,56,I Love This Life,LOCASH
2016-02-06,57,Backroad Song,Granger Smith
2016-02-06,58,Sugar,Robin Schulz 
2016-02-06,59,I Got The Boy,Jana Kramer
2016-02-06,60,Heartbeat,Carrie Underwood
2016-02-06,61,Back Up,DeJ Loaf 
2016-02-06,62,2 Phones,Kevin Gates
2016-02-06,63,Big Rings,Drake 
2016-02-06,64,Beautiful Drug,Zac Brown Band
2016-02-06,65,Break On Me.,Keith Urban
2016-02-06,66,The Fix,Nelly 
2016-02-06,67,Sorry Not Sorry,Bryson Tiller
2016-02-06,68,Dessert,Dawin
2016-02-06,69,Drunk On Your Love,Brett Eldredge
2016-02-06,70,You Should Be Here,Cole Swindell
2016-02-06,71,Dibs,Kelsea Ballerini
2016-02-06,72,Emperor's New Clothes,Panic! At The Disco
2016-02-06,73,$ave Dat Money,Lil Dicky 
2016-02-06,74,Gonna Know We Were Here,Jason Aldean
2016-02-06,75,I'll Show You,Justin Bieber
2016-02-06,76,Really Really,Kevin Gates
2016-02-06,77,WTF (Where They From),Missy Elliott 
2016-02-06,78,Confession,Florida Georgia Line
2016-02-06,79,I Took A Pill In Ibiza,Mike Posner
2016-02-06,80,Nobody To Blame,Chris Stapleton
2016-02-06,81,Hollow,Tori Kelly
2016-02-06,82,Walking On A Dream,Empire Of The Sun
2016-02-06,83,Good To Be Alive (Hallelujah),Andy Grammer
2016-02-06,84,Bang My Head,David Guetta 
2016-02-06,85,Mr. Misunderstood,Eric Church
2016-02-06,86,Let It Go,James Bay
2016-02-06,87,New Americana,Halsey
2016-02-06,88,Watch Out,2 Chainz
2016-02-06,89,Victorious,Panic! At The Disco
2016-02-06,90,We Went,Randy Houser
2016-02-06,91,Play No Games,Big Sean 
2016-02-06,92,Death Of A Bachelor,Panic! At The Disco
2016-02-06,93,Lay It All On Me,Rudimental 
2016-02-06,94,Right Hand,Drake
2016-02-06,95,Middle,DJ Snake 
2016-02-06,96,7 Years,Lukas Graham
